Dataset,Month,Method,Shape Parameter (k),Scale Parameter (gamma),Num Data Points,AIC,BIC,KS Statistic,KS p-value,Mean,CI_95_Low,CI_95_High,Pct_10_15,Pct_GT_25
galway_athenry,August,mle,2.0330,7.60986,11156,58319.74064,58334.38010,0.06742,0.00000,6.74227,1.24752,14.46179,0.15628,0.00001
galway_athenry,August,mm,2.1573,8.06288,11156,58488.70624,58503.34571,0.10809,0.00000,7.14053,1.46691,14.76632,0.18166,0.00001
galway_athenry,August,ls,1.8926,7.65390,11156,58425.61998,58440.25945,0.06001,0.00000,6.79266,1.09718,15.25531,0.16232,0.00008
galway_athenry,September,mle,1.9576,7.58099,10778,56670.44928,56685.01981,0.06888,0.00000,6.72151,1.15916,14.76777,0.15683,0.00003
galway_athenry,September,mm,1.7347,6.80882,10778,57146.76482,57161.33535,0.13614,0.00000,6.06721,0.81790,14.44997,0.12304,0.00007
galway_athenry,September,ls,1.8772,7.32253,10778,56726.90582,56741.47634,0.08132,0.00000,6.50039,1.03315,14.67730,0.14469,0.00004
galway_athenry,October,mle,1.9243,8.04067,11157,60278.18746,60292.82711,0.05987,0.00000,7.13225,1.19014,15.84494,0.18224,0.00014
galway_athenry,October,mm,1.7768,7.51040,11157,60485.80561,60500.44526,0.10028,0.00000,6.68329,0.94858,15.65757,0.15678,0.00021
galway_athenry,October,ls,1.8722,7.86089,11157,60302.84109,60317.48074,0.06658,0.00000,6.97898,1.10330,15.78581,0.17320,0.00016
galway_athenry,November,mle,1.8033,7.85075,10796,58705.70702,58720.28089,0.06431,0.00000,6.98096,1.02218,16.19138,0.17268,0.00031
galway_athenry,November,mm,1.5647,6.92274,10796,59288.89229,59303.46615,0.13988,0.00000,6.22018,0.66053,15.94357,0.13401,0.00058
galway_athenry,November,ls,1.7389,7.46280,10796,58788.25360,58802.82747,0.08061,0.00000,6.64901,0.90101,15.80946,0.15498,0.00028
galway_athenry,December,mle,1.7934,8.94065,11128,63517.93915,63532.57359,0.06153,0.00000,7.95223,1.15113,18.51258,0.21481,0.00180
galway_athenry,December,mm,1.6176,8.18754,11128,63829.98549,63844.61993,0.10279,0.00000,7.33351,0.84368,18.34841,0.18134,0.00228
galway_athenry,December,ls,1.7175,8.59920,11128,63579.55115,63594.18558,0.06894,0.00000,7.66737,1.01129,18.38758,0.19940,0.00193
donegal_finner,January,mle,1.7229,13.54516,13215,87197.11013,87212.08835,0.04927,0.00000,12.07494,1.60373,28.89416,0.24919,0.05644
donegal_finner,January,mm,1.6848,13.40077,13215,87209.03004,87224.00825,0.03903,0.00000,11.96428,1.51174,29.08122,0.24454,0.05731
donegal_finner,January,ls,1.6692,12.92091,13215,87276.86660,87291.84482,0.04785,0.00000,11.54370,1.42828,28.24292,0.24376,0.04932
donegal_finner,February,mle,1.8846,14.33749,12127,79956.14397,79970.95035,0.03666,0.00000,12.72600,2.03847,28.66003,0.26563,0.05776
